Год издания,title,url,Availability,Библиографическое описание,Тип издания,Коллекции,Автор,Заглавие,Number_of_Images,Images
1942,Астрабадский залив,http://elib.shpl.ru/ru/nodes/39362-locale-nil-199-iyun-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1942. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 199 : Июнь 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 199,2,"2934047, 2934049"
1942,Астрахань,http://elib.shpl.ru/ru/nodes/39363-locale-nil-200-iyun-1942-goda,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1942. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 200 : Июнь 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 200,2,"2934051, 2934053"
1942,Астрахань,http://elib.shpl.ru/ru/nodes/39349-locale-nil-23-aprel-1942-goda-locale-nil-1942,1,"Жизнь военнопленных в Советской России : [листовки] : перевод с немецкого в целях информации. – Б.м., 1942.  – Листовки служат пропуском для перехода в плен . № 23 : Апрель 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 23,2,"2933833, 2933835"
1942,Атака UB-7 и UB-8 русского флота во время обстрела им Варны 27 октября 1915 г.,http://elib.shpl.ru/ru/nodes/39336-locale-nil-28-aprel-1942-goda-locale-nil-1942,1,"Жизнь военнопленных в Советской России : [листовки] : перевод с немецкого в целях информации. – Б.м., 1942.  – Листовки служат пропуском для перехода в плен . № 28 : Апрель 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 28,2,"2933618, 2933620"
1942,Атака Горного Дубняка,http://elib.shpl.ru/ru/nodes/39625-locale-nil-35-may-1942-goda-locale-nil-1942,1,"Жизнь военнопленных в Советской России : [листовки] : перевод с немецкого в целях информации. – Б.м., 1942.  – Листовки служат пропуском для перехода в плен . № 35 : Май 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 35,2,"2940760, 2940762"
1942,Атака западным отрядом укрепленного лагеря под Плевной 26-31 августа 1877 г.,http://elib.shpl.ru/ru/nodes/39629-locale-nil-44-iyun-1942-goda-locale-nil-1942,1,"Жизнь военнопленных в Советской России : [листовки] : перевод с немецкого в целях информации. – Б.м., 1942.  – Листовки служат пропуском для перехода в плен . № 44 : Июнь 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 44,2,"2940777, 2940779"
1942,Атака западным отрядом укрепленного лагеря под Плевной 26-31 августа 1877 г. Третий бой под Плевной,http://elib.shpl.ru/ru/nodes/39430-locale-nil-56-yanvar-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 56 : Январь 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 56,2,"2935503, 2935505"
1942,Атака латышского стрелкового полка утром 21 октября 1919 г.,http://elib.shpl.ru/ru/nodes/39563-locale-nil-64-yanvar-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 64 : Январь 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 64,2,"2940081, 2940084"
1942,Атака отряда курсантов на Детское село 23 октября 1919 г.,http://elib.shpl.ru/ru/nodes/39565-locale-nil-66-yanvar-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 66 : Январь 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 66,2,"2940055, 2940057"
1942,"Атака Пола, инж. Россети 1 ноября 1918 г.",http://elib.shpl.ru/ru/nodes/39580-locale-nil-71-yanvar-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 71 : Январь 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 71,2,"2940265, 2940267"
1942,Аткарск Саратовской губернии,http://elib.shpl.ru/ru/nodes/39575-locale-nil-77-yanvar-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 77 : Январь 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 77,2,"2940175, 2940177"
1942,Атлас карт и планов к III тому перевода. – Б.г. ,http://elib.shpl.ru/ru/nodes/39587-locale-nil-87-fevral-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 87 : Февраль 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 87,2,"2940296, 2940298"
1942,"Атлас карт к Военному обозрению Финляндского военного округа. – Гельсингфорс, 1901.",http://elib.shpl.ru/ru/nodes/39346-locale-nil-9-mart-1942-goda-locale-nil-1942,1,"Жизнь военнопленных в Советской России : [листовки] : перевод с немецкого в целях информации. – Б.м., 1942.  – Листовки служат пропуском для перехода в плен . № 9 : Март 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 9,2,"2933848, 2933850"
1942,"Атлас Российской империи, изданный для употребления юношества в 1794 [году] в Санктпетербурге. - [СПб., 1794].",http://elib.shpl.ru/ru/nodes/39602-locale-nil-99-fevral-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 99 : Февраль 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 99,2,"2940493, 2940495"
1942,Атлас сражений 1861-1865 гг. в Северной Америке,http://elib.shpl.ru/ru/nodes/39601-locale-nil-98-fevral-1942-goda-locale-nil-1942,1,"Международная информация : [листовки] : перевод с немецкого в целях информации. – Б.м., 1941. – Текст начинается словами: Немецкие солдаты!. – Листовки служат пропуском для перехода в плен . № 98 : Февраль 1942 года. – 1942. – [2] с.",агитационный материал,,,№ 98,2,"2940489, 2940491"
